"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
"MED13",5686.02206964944,1580.04222062706,182.855313017673,24.8764934208395,413.783610067669,388.58873106336,1205.48407111719,-1086.42149945721,-1669.91543059116,344.138869085114,1015.08438681004,631.606921554568,-392.384594297619,321.085551011815,-232.771414803704,233.097887608682,-585.507687995298,-88.1407028887418,-307.022937413753,-108.421416910932,51.9429188646832,311.061016496199,513.08577236199,149.933199339697,185.96987693743,47.9309756762374,-204.882616856135,-309.700583615685,-676.929941701196,61.3935262934456,365.559529818963,-556.736129266795,264.236726793322,305.125957680882,49.2776582154505,-235.027572369699,-649.367457008391,80.6518863071144,303.140765195254,-38.1039288449882,-82.5780532746029,-304.535234835878,-286.898359955083,19.985421343931,-103.788810026905,206.471271087381,-114.147072104145,-171.845460004285,295.898225640901,749.694798346867,38.895047787245,487.574379210505
"ASXL3",2567.8724136665,863.962929106463,152.351357853143,-1204.32458898995,191.669593694741,-166.643035810878,913.889309089856,-107.587672518767,-1614.26166074351,383.285750065572,722.845005311903,477.566625743673,-40.9463958012188,-244.20236705711,-42.4430399690669,-6.30165565104166,-188.289582405801,295.749833900718,-40.9146288520733,287.353968514296,-449.721858662192,-150.25551002355,377.250955550475,129.344818363169,-71.9386220532965,-427.490312567264,-24.747710721647,-155.438263419548,-321.879412933898,193.12525218753,109.910270785641,531.966249024235,103.661131363515,11.3611363290557,-32.9911275305045,-167.597679460205,132.284852137287,198.663150628368,22.5116371892995,439.283615148145,32.457755765014,-307.001725541452,39.3534264412596,279.326512353947,109.348512496886,96.5545220958932,101.114574417044,74.2639000161222,-36.6833659207384,-12.9679777639547,-238.09907487131,-97.3706328791724
"KATNAL2",188.56437196494,-56.7969472813748,-5.12083773317083,117.879941991906,-4.59245403972816,33.0276270918999,-25.3068731610494,-23.1577849473992,-81.675356079633,8.36640663974362,-30.9046232930346,7.64897824817827,-82.2486958278267,-9.00839669319881,-36.6872620435965,-69.1116165034258,26.989216648427,37.4761552534317,-122.822236707576,-70.3466081419448,-31.7973526421118,39.1645502877025,18.3066008030299,33.2166063068883,49.4414406319387,122.534924855639,-169.382594929523,43.8377695554563,-21.9142658864118,-0.980526776422479,-19.2115858464353,11.2769689980587,-49.2842737518105,-51.0679366520554,43.2649659382273,-44.3072228775236,47.2889623678698,-63.5408750518691,-60.158938246183,-40.7673153346337,49.187229397114,-37.7133252774781,-65.093459288049,-7.42367540587832,-13.2771445501398,0.215881277808631,-11.3451221573945,9.17155765106244,9.58484727892964,54.2158703103532,11.8140080406084,-44.4047224934675
"CIC",2023.07234724092,506.654915137496,17.979393085508,-94.3830042199739,193.201247439504,32.985316656124,537.102501163961,-458.289417258391,-1058.68179621331,380.364959635097,683.072313878321,662.124975823735,-93.1640173911707,-458.11285898535,-26.9895503935976,105.974833141135,-11.4704617808063,326.272478961149,-230.334024903543,1.46675247497339,-152.260196912578,700.742867633797,-652.311295193547,667.679415104501,49.535477978555,313.273031929089,235.947670819112,-392.464677273233,369.532801483422,322.84162628856,173.877531997628,340.993420458798,-237.365261569856,9.58574844210321,-66.0519845672039,-294.026460857012,91.3716598675911,23.4046994976519,-91.3154167735473,113.503164559317,-54.6284365140421,186.271410431653,421.038393311431,-136.706950278901,67.9957091082378,-64.6064517549949,179.045763165616,-265.154894239429,115.951567004743,-535.364671668197,-473.299006735806,-126.937405605814
"MBOAT7",1857.01941324717,839.714121620148,67.726036985608,219.793677749678,173.522124028571,536.426911411146,270.639847622732,-913.258959018195,-530.402477783261,57.4392403299011,-41.0061991262631,391.639876283082,-154.308799016615,93.824174848547,-128.921554558251,23.6543037920281,319.065257857351,-124.016509295922,-42.4606039365814,126.858766865607,-305.391160760401,49.1856862705423,-245.358611787095,291.458352194424,9.01565494155865,244.09586436779,-185.831379304546,-292.802961166007,-319.696335559004,-67.1058999217725,96.328388040898,-236.918023142963,117.735642287768,278.673783972822,-83.1537041950192,-240.355213490817,8.56228249365468,41.4025968273967,-189.331372214793,-32.9996782653262,179.622315640343,47.0934629580151,77.6772798254547,8.26865198374477,-176.427938019001,45.9514665896982,38.1212952264195,-12.1328660418138,-118.893253497979,-71.1635547438939,97.5501272913779,-38.3208975193108
"MYT1L",14491.551429909,3738.57965059465,652.721392163105,-7399.57408448566,557.021268148663,-1308.9914438124,2357.21121478824,-1136.44608375271,-5531.59426466679,1470.59917900858,1989.41160966775,1526.98992147881,560.798497276573,-2248.84248682847,629.031671939237,-1079.30720722089,-504.474704900178,1989.21426519556,257.929234075151,-952.818478738749,1053.86414615378,1058.4598406758,787.18646469498,-1437.90232637479,1494.3553770971,1233.90788096479,41.8259110259067,612.829031843495,-1043.52222204593,-337.276603683493,943.102874729014,1040.06103327309,566.812744317752,1210.76699447986,-301.578844512158,444.01088860089,589.516055954916,901.092116016729,-52.7671289567908,-305.006745221401,-709.376346916015,-76.8751198160857,-398.472258120814,618.712572269393,-342.73288103735,1107.83788978698,882.465012872522,-65.0596342446527,-1733.77902247728,-363.164727942724,-185.863571349912,1123.84150688009
"SPAST",3118.59649500241,1077.69022900671,172.293892367316,-760.923438733236,24.2834273054386,-222.374735370084,576.348119498596,-345.626810308302,-665.995934836783,153.788640440945,377.188780995719,449.458077558336,-276.6277324316,8.85989943185084,-19.7589969109964,20.0323339209292,-487.020016475965,155.576639198476,-22.4280018583425,175.504838633795,86.8788972790451,-174.424507848597,504.005829829653,-247.84883712728,354.696455594098,145.61590873656,-197.261461878563,-117.683761769119,-190.278419743946,-162.734119242135,114.562719838006,-217.971292150897,111.43243311592,245.521010484316,1.99412370233808,-478.934682310757,-194.154920594224,37.0994015569441,-7.40300080228443,65.5482727786941,170.871754122492,162.761180237844,122.278765328057,3.44051938018099,303.967961751583,150.197461746886,309.317297056142,146.656142883324,-108.12330195464,45.0865426833355,13.1011391636685,62.5888707759585
"NRXN1",28250.7717398151,891.497806061868,42.064746955956,-7549.30785082555,1585.63415757462,692.035049647466,5089.53514199701,-7683.74338762077,-7913.37262695593,1752.9859832035,3749.68440148705,5701.30386145076,1173.6211944591,557.20632600684,34.1229818425831,-2478.69693232672,-2322.32116281908,5252.12327897946,3055.18162466735,-3948.90548153854,1020.39125350659,1465.41709333614,2021.50972927494,-506.42277263066,2052.92968795281,1670.97940572192,736.199899689205,-822.491600493652,672.596582445883,-2004.83370912097,915.900801563536,-1135.18437326596,-1575.44888471279,1682.0628478512,-1103.36199014931,154.106406496308,531.861248992585,-1213.80741823852,-1064.99868383043,729.52874091735,683.695836428346,-2172.69742348957,717.736006503978,1093.39106947439,1684.77201139013,-298.706092518071,1868.76756695962,-1336.76582909299,-640.768965904254,3258.63875308653,-209.681136449762,889.279820854492
"BCL11A",22354.3151517539,10419.4641922331,1773.41750780161,-8679.85185629458,-985.370039777646,-2484.36212695388,3196.3003506254,-1961.16195643931,-3910.14042954506,2513.78759280917,6594.89480261939,-401.572194110649,-810.379618033516,2620.42473699723,-274.600238031635,228.828752262833,-3744.11031806281,-1807.84942302271,-3027.2190627252,1290.77780858857,2070.06497955553,1749.96034045771,155.68305117921,-1753.5491481584,2903.8926623757,-3169.40940727921,-1487.50184982505,-846.21950084758,-5641.83789613388,-1129.92280187036,3866.96548070545,3166.69055308983,3772.41261993539,952.657042895906,1972.57027757363,1218.68743526974,-1090.7947198884,797.378137036222,1947.65306217279,-1205.18410777076,220.967710995328,-288.580225535149,-1107.09933066906,1085.0064792278,-236.310727879168,2485.23384250258,2939.76880428665,35.7765082474872,-1116.6574509754,-2719.07133064885,-153.289358813535,2546.87170479784
"SCN2A",4908.3761128326,1111.02246751329,-181.604245349177,-2781.67981951172,751.495794245731,-50.0821383401679,881.35381013868,-1511.1393561449,-3686.11915514375,455.008360455309,703.353038580766,2299.82494118166,732.562891164891,-2379.1966075511,293.262161809809,-527.944896720595,554.415991943667,2009.02383016447,110.95341488032,-507.922747206955,417.793909745754,722.763408419373,-16.4521794710342,-456.682371054095,836.777625392311,701.76201515549,-103.629985724419,41.1127216735247,-157.406747886122,-80.107469192738,-39.6475116586887,248.93028671394,489.767610564395,486.318421989748,-176.528696142038,-329.466586075061,-541.116942003886,-235.869205710335,271.038590491686,-454.898600718868,515.98446401419,-154.172743935676,-348.457749216701,66.9908359807831,606.140395785342,317.226218095961,313.941481365008,266.917291676381,-207.557745888232,7.00871113723381,-1154.69847221973,-455.839358015111
"SCN9A",3280.98382775561,224.892228801835,-304.233376177351,-1836.77670793544,374.848054571751,136.821480926266,880.473702391601,-825.126159051669,-3188.09800596051,635.125068296427,541.936542554098,2091.09866650097,235.524746628632,-1714.74777224233,324.214309541981,-405.074896769399,230.952567433052,1254.3812068358,-507.393387657534,-31.8128282751295,78.0753874377447,1265.17896824001,24.1877792220491,491.727987087477,407.838543599823,755.663941991052,644.168529823033,71.9245750877001,14.2171136528055,583.619278449176,-210.449801943411,217.032052888624,295.578016112725,-212.182936450017,-67.8644596169373,-41.200580321739,198.891901259929,94.8958042670247,142.879806473033,-6.60926893369504,-185.483039098142,-121.056461604418,-2.54307610328767,198.631929855419,-21.3743933996645,-3.95856857842831,-149.573156815895,449.724412112108,-425.749090550776,253.469397650984,83.8219376310335,-169.684082494873
"NCKAP1",7289.55691256845,2581.91055732178,423.8125798147,-2.14285683078673,387.210239203641,949.075889923205,1231.83242696307,-1896.53790024819,-843.896053889706,186.492893355307,754.354356450376,1134.62974348481,589.059446558186,-167.70918464039,-52.7801853590543,-563.430936635195,66.5197055736637,-1400.00770219451,-670.515738708386,367.017915703563,-516.268053241268,46.7459368140266,724.606685609795,-620.536190235394,-97.0070212150971,-57.1911439220622,79.6809737206048,-519.963636962167,-347.371993120542,-55.5070731272984,512.884273429221,-326.952353141966,286.594498967003,448.404684916171,-104.818316607634,-202.602468195477,-20.1208512412882,513.71149156908,-357.70390037311,-370.069470493227,369.853437050972,158.18585516378,-342.466466340618,8.35714412747456,-0.534347555875481,-306.276105472864,333.956827797589,150.261242872419,154.159665020289,270.455018668182,108.110374593472,80.9321323293263
